idx,sentence,label
0,"My husband has had one of these in pocket for years. Needed to replace (scissors get not sharp). Couldnt find anywhere. Til amazon Yaaahh.First order didnt show, so cancelled that order. & ordered again diff (your rep helped me). Ended up getting both. So called and had you guys charge me again. Got 2 Paid for 2.Thanks",1
1,"I have listened to the first 4 lessons, and cannot continue. The pace is way too slow. The only thing taught in the first 4 lessons is: ""I can (or cannot) speak Thai"" or ""I am (or am not) from America"" Up front it seems to be promising, given the number of tapes and lessons, but in realty you are no further along by the end of the 4th lesson as you were at the end of the 1st. Save your money, see if there are any other lessons available",0
2,"I have needed this for a long time. I have SAD, and this light box really does help me! It's lightweight and super easy to use. I am a happy camper with this purchase! ;-)",1
4,"I hae the palm E and was told that all I had to do was load the palm E2 and it would work in about 10 minutes. Simple huh! It would load, it wouldn't sync and it wouoldn't leave my desk top alone. Kept changing the config. I sent it back and will keep my Tungsten E until the bugs get worked out. Amazon took it back without complaints for a full refund.",0
5,This is a very cool book with neat stories. But in the section Tough stuff can be sad. I love the stories they are very inspiring. Agreee or not? E-mail me at USAchick81@hotmail.com Thanx!,1
6,"If you have never read any thing of the Grand Master I would highly recommend ""Glory Road"". If you like fantasy and dragon slaying type fiction this is it. Not hard core SCFI just some good fantasy fiction.When a friend gave me this book, I was'nt that interested, I read ""Starship Trooper"", ""Space Cadet"" and the other early works of Heinlein and said why not ""Glory Road"". It has turned into my favorite of his work.Great action, even some sex ( PG rated) so what's a guy not to like?Read it soon!",1
7,Rip guide bent during first use when tightening the screw. It also doesn't fit properly in my C7SB2 case where it should. Hard to recommend.... be gentle with it!,0
8,"Donnie McClurkin shares his own personal pain in order to help someone else. What an inspiration to see someone who went through what he went through come out on top. This just goes to show that you can make it no matter how hard your struggle is. This is why God lets us go through different trails and tribulations. When we prevail, we can tell the story and help someone else. The music is a blessing and it speaks directly to your heart. Pastor Donnie really did come from darkness into the light. His guests will bless you and refresh your soul. I highly reccomend this item to you.",1
9,"I bought this at the same time I bought a long-handled slotted spoon, figuring that the two would cover all bases. This one is a little shallow- I'd like about double the hight at the edge. But it has a great feel, wont bend, and does a great job. Recommended",1
10,"This is a great toy, my 8 month old daughter loves to pull up on it and plays with it for long periods of time. Previous reviews stated that the legs did not remove, maybe they've made improvements because ours easily come off which was great for her to get used to the toy at first and also nice to take apart for travel. There are lots of songs and sounds so it does not annoy us as other toys do. The only negative is now that she is getting stronger and more confident, she can push it around the living room, we may need to add something to the bottom of the feet so it does not slide as easily. The green flap that opens easily comes off which is not a big deal to us, it goes on in a snap and she really likes to carry that object around with her. Overall this is a great toy for our little girl.",1
